nem;kirlilik;ruzgar;sicaklik;basinc;yagmur
76;0.7;29;23;428;0
60;0.5;13;21;795;0
23;0.3;19;20;891;1
50;0.1;16;11;916;1
35;0.7;6;14;604;0
63;0.7;13;3;924;1
57;0.1;16;5;480;1
65;0.9;2;16;643;1
42;0.4;16;24;629;0
24;0.8;18;25;594;0
40;0.9;19;11;562;0
49;0.4;26;2;329;0
35;0.4;12;29;737;1
91;0.6;25;21;796;1
73;0.4;16;22;680;0
99;0.8;5;10;259;0
56;0.6;15;2;518;1
24;0.3;6;4;494;0
83;0.8;22;22;574;1
65;0.6;7;11;797;1
76;0.1;21;22;904;1
70;0.7;1;14;724;1
20;0.1;1;7;923;1
24;0.3;24;3;316;0
46;0.4;17;20;308;0
48;0.8;18;12;205;0
58;0.3;1;15;666;1
59;0.6;15;7;394;0
61;0.4;5;4;440;0
98;0.3;18;24;897;1
42;0.3;28;12;358;0
100;0.9;19;12;259;0
34;0.6;20;19;396;0
97;0.1;9;14;984;1
83;0.6;26;30;571;1
97;0.2;11;25;697;1
31;0.4;4;12;481;0
47;0.1;22;3;403;0
77;0.5;14;2;741;1
88;0.2;9;29;771;1
82;0.3;18;14;254;0
95;0.8;25;15;637;0
25;0.4;18;26;308;0
83;0.1;7;10;393;0
35;0.7;29;10;910;1
63;0.5;11;10;576;1
86;0.5;4;7;747;0
50;0.5;10;19;603;0
49;0.4;13;12;313;0
21;0.1;4;24;518;1
34;0.7;15;22;842;1
94;0.1;14;30;425;0
58;0.1;7;8;706;1
72;0.9;26;27;700;0
32;0.2;30;8;399;0
99;0.5;26;5;532;0
82;0.2;13;13;956;1
95;0.3;11;28;556;1
21;0.5;28;27;724;1
66;0.3;29;7;864;1
83;0.1;16;8;884;1
28;0.9;13;18;634;0
93;0.8;8;23;880;1
78;0.2;2;27;372;0
70;0.6;29;13;600;1
20;0.4;6;11;783;1
49;0.1;8;17;391;0
61;0.8;24;7;373;0
60;0.7;23;28;358;0
25;0.6;21;9;509;0
40;0.4;9;12;581;0
57;0.8;2;5;930;1
79;0.4;9;26;305;0
82;0.6;9;18;688;0
42;0.3;28;19;354;0
28;0.7;19;10;240;0
33;0.8;26;14;803;1
88;0.6;15;1;465;0
76;0.1;28;15;690;0
50;0.3;26;17;618;0
90;0.7;9;19;570;1
49;0.3;5;23;477;0
52;0.4;14;1;206;0
41;0.2;28;19;887;1
98;0.1;13;3;438;0
93;0.2;27;17;753;1
57;0.3;10;25;976;1
63;0.3;26;29;573;0
89;0.5;26;25;656;0
54;0.7;20;15;940;1
44;0.8;17;29;564;0
84;0.8;9;23;351;0
79;0.5;1;20;732;1
94;0.6;10;2;502;0
67;0.7;16;4;601;0
93;0.9;4;21;806;1
37;0.3;5;6;409;0
35;0.9;10;13;746;1
86;0.8;15;12;315;0
93;0.8;22;19;950;1
91;0.6;8;16;257;0
58;0.6;20;9;353;0
95;0.6;10;25;850;1
83;0.5;19;27;932;1
44;0.6;6;30;945;1
33;0.6;10;15;800;1
65;0.9;13;23;392;0
59;0.1;24;26;902;1
71;0.4;3;4;976;1
71;0.6;11;11;393;0
28;0.7;29;18;722;0
25;0.1;24;11;713;1
73;0.2;11;18;388;0
52;0.2;30;10;498;0
86;0.4;25;13;227;0
77;0.2;24;17;595;1
78;0.6;11;14;544;0
39;0.5;12;30;463;0
51;0.3;14;2;448;0
64;0.1;2;30;541;0
33;0.9;18;22;960;1
22;0.3;5;6;374;0
58;0.6;29;25;458;0
90;0.2;24;26;369;0
25;0.7;18;7;836;1
32;0.9;6;1;786;1
37;0.4;12;29;635;1
44;0.8;18;10;440;0
38;0.2;2;1;895;0
82;0.3;22;21;847;1
23;0.4;10;8;250;0
59;0.9;1;23;296;0
58;0.4;22;10;472;0
65;0.2;4;12;703;1
27;0.1;13;19;479;0
86;0.9;11;2;229;0
28;0.5;1;4;980;1
25;0.3;1;7;452;0
67;0.8;13;27;359;0
49;0.5;7;29;887;1
51;0.1;8;10;318;0
58;0.5;9;4;572;0
24;0.1;30;18;724;1
51;0.7;29;25;686;1
21;0.8;28;1;552;0
21;0.2;28;8;521;0
97;0.3;15;9;554;0
39;0.9;2;13;555;0
55;0.8;18;19;858;1
27;0.6;21;29;793;0
52;0.2;30;2;249;0
56;0.8;6;25;720;1
45;0.3;9;6;754;1
99;0.6;3;11;450;0
44;0.9;29;19;648;1
42;0.9;8;3;369;0
68;0.4;15;15;670;0
24;0.2;4;20;869;1
86;0.3;14;20;769;1
91;0.9;4;20;524;0
46;0.3;13;16;478;0
34;0.2;2;3;958;1
33;0.6;20;20;553;0
